date,text,side,label
2022-01-27 00:00:00,"Medvedev: Russia has “the right” to use nuclear weapons in response to an existential threat, which makes it “possible to achieve various goals”.",r,W
2022-02-07 00:00:00,"Putin: If Ukraine attempts to take back Crimea, European countries will be in conflict with Russia, which is a “leading” nuclear power superior to “many” NATO countries in terms of “nuclear force”.",r,E
2022-02-19 00:00:00,"Yearly nuclear exercise, normally held in autumn.",r,W
2022-02-22 00:00:00,"Putin: Ukraine is seeking to acquire tactical nuclear weapons, which would pose a “strategic threat” to Russia.",r,W
2022-02-24 00:00:00,Putin: Whoever tries to hinder Russia will face consequences “never seen” in history.,r,E
2022-02-24 00:00:00,Putin: Russia is “one of the most powerful nuclear states” and “there should be no doubt for anyone” that a direct attack on Russia would lead to defeat.,r,W
2022-02-24 00:00:00,"Biden: No US troops involved in the conflict, only to defend NATO.",w,D
2022-02-24 00:00:00,Le Drian: NATO also has nuclear weapons.,w,W
2022-02-26 00:00:00,Western states decide to only impose economic sanctions upon Russia and deliver military support for Ukraine.,w,D
2022-02-27 00:00:00,Truss: Russia must be stopped in Ukraine.,w,E
2022-02-27 00:00:00,Putin: Russian deterrence forces will be placed on “high combat alert”.,r,E
2022-02-28 00:00:00,Shoigu: High combat alert = more personnel.,r,W
2022-02-28 00:00:00,"Psaki: Announces additional support for Ukraine, but the United States can defend itself.",w,D
2022-02-27 00:00:00,"Borrell: Financial aid to Ukraine, but also military jets (MiGs).",w,W
2022-02-28 00:00:00,US warning to Russia against using tactical nuclear weapons.,w,E
2022-02-28 00:00:00,Zakharova: United States dreams of deploying nuclear weapons to Ukraine.,r,E
2022-03-01 00:00:00,Russian military exercises with nuclear submarines in the Barents Sea and with mobile ICBMs in Siberia.,r,W
2022-02-28 00:00:00,Biden: US citizens have no reason to be afraid of nuclear war.,w,D
2022-02-28 00:00:00,"US forces will not fight in Ukraine, only defend NATO.",w,D
2022-03-02 00:00:00,"Poland, Slovakia, Bulgaria, NATO will not send MiGs to Ukraine.",w,D
2022-03-02 00:00:00,United States reschedules Minuteman III test.,w,D
2022-03-03 00:00:00,"Lavrov: Thought of nuclear war is on Western, not Russian minds.",r,D
2022-03-03 00:00:00,Zakharova: Russia will not use nuclear weapons first.,r,D
2022-03-04 00:00:00,NATO foreign ministers reject the no fly zone requested by Ukraine.,w,D
2022-03-05 00:00:00,Putin: A no fly zone would have “disastrous consequences”.,r,W
2022-03-05 00:00:00,And: The decision to put Russia’s deterrence forces on high alert had been necessary because UK Foreign Minister Truss had announced a NATO intervention in Ukraine.,r,W
2022-03-08 00:00:00,"Haines: No changes of the Russian nuclear posture, Putin wants to deter Western support for Ukraine.",w,D
2022-03-09 00:00:00,Peskov: MiGs that take off from “any other airfields” on NATO territory would be “an extremely undesirable and potentially dangerous scenario”.,r,W
2022-03-10 00:00:00,Wolters: MiGs could be “mistaken as escalatory and could result in Russian escalation with NATO”.,w,D
2022-03-11 00:00:00,"Biden: NATO will be defended, but a direct confrontation with Russia – a third world war – has to be avoided.",w,D
2022-03-15 00:00:00,Poland demands a NATO peacekeeping mission for Ukraine.,w,W
2022-03-16 00:00:00,NATO decides not to send peacekeeping troops to Ukraine but to expand economic and military assistance.,w,D
2022-03-16 00:00:00,"Putin: The West wants to “finish off” Russia, but it will fail.",r,W
2022-03-19 00:00:00,Use of a conventional Kinzhal missile in Ukraine,r,W
2022-03-20 00:00:00,Austin: Putin trying to “reestablish some momentum” and the United States can defend itself.,w,D
2022-03-22 00:00:00,Peskov: Nuclear weapons would only be used in “existential threat”.,r,D
2022-03-22 00:00:00,Ryabkov: Russia would “never escalate anything”.,r,D
2022-03-23 00:00:00,Peskov: A NATO mission in Ukraine would be “very reckless and extremely dangerous” and could have “consequences that would be hard to repair”.,r,W
2022-03-23 00:00:00,Lavrov: Everyone should try to avoid a “direct clash between the Russian and NATO armed forces”.,r,W
2022-03-23 00:00:00,Medvedev: Russia’s destruction could lead to nuclear war.,r,W
2022-03-23 00:00:00,Rogozin: Russia could destroy “any aggressor”.,r,W
2022-03-23 00:00:00,Anonymous Biden administration official: Use of a tactical nuclear weapon in Ukraine would mean “all bets are off” regarding direct US intervention in the war.,w,E
2022-03-23 00:00:00,But nuclear use remains unlikely.,w,E
2022-03-23 00:00:00,Sullivan: There have been no Russian preparations,w,E
2022-03-23 00:00:00,France conducts test of nuclear-armed missile and deploys three of its four nuclear submarines.,w,W
2022-03-23 00:00:00,Stoltenberg: „Any use of nuclear weapons will fundamentally change the nature of the conflict”.,w,W
2022-03-26 00:00:00,"Medvedev: Russia could use nuclear weapons if its existence is threatened, even by conventional weapons.",r,W
2022-03-28 00:00:00,"Peskov: Any outcome of the operation in Ukraine is “of course” not a reason to use nuclear weapons, only an existential threat would be.",r,D
